Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,1761
    2, 9.743, 9.743,4502
    3,28.111,18.368,4502
    4,42.428,14.317,4502
    5,57.621,15.193,4502
    6,71.653,14.032,4502
    7,87.284,15.631,4502
    8,101.524,14.240,4502
    9,120.773,19.249,4502
   10,136.083,15.310,4502
   11,151.783,15.700,4502
   12,167.370,15.587,4502
   13,183.793,16.423,4502
   14,201.187,17.394,4502
   15,218.347,17.160,4502
   16,233.449,15.102,4502
   17,248.906,15.457,4502
   18,265.456,16.550,4502
   19,281.177,15.721,4502
   20,295.959,14.782,4502
   21,313.178,17.219,4502
   22,328.569,15.391,4502
   23,345.893,17.324,4502
   24,362.027,16.134,4502
   25,377.642,15.615,4502
   26,393.106,15.464,4502
   27,411.181,18.075,4502
   28,428.043,16.862,4502
   29,442.823,14.780,4502
   30,459.838,17.015,4501
   31,477.226,17.388,4501
   32,494.598,17.372,4499
   33,512.511,17.913,4499
   34,529.194,16.683,4499
   35,545.666,16.472,4499
   36,560.601,14.935,4499
   37,577.261,16.660,4499
   38,592.126,14.865,4499
   39,608.805,16.679,4499
   40,624.670,15.865,4499
   41,640.425,15.755,4499
   42,656.036,15.611,4499
   43,670.671,14.635,4499
   44,686.297,15.626,4499
   45,702.577,16.280,4499
   46,717.823,15.246,4499
   47,735.916,18.093,4499
   48,751.633,15.717,4499
   49,769.123,17.490,4499
   50,785.874,16.751,4499
   51,801.422,15.548,4498
   52,816.721,15.299,4498
   53,831.672,14.951,4498
   54,847.295,15.623,4498
   55,863.171,15.876,4498
   56,878.819,15.648,4498
   57,894.251,15.432,4498
   58,914.014,19.763,4498
   59,931.228,17.214,4498
   60,953.486,22.258,4498
   61,969.570,16.084,4498
   62,987.469,17.899,4498
   63,1006.991,19.522,4498
   64,1023.413,16.422,4498
   65,1039.545,16.132,4498
   66,1055.343,15.798,4498
   67,1072.441,17.098,4498
   68,1088.439,15.998,4498
   69,1105.928,17.489,4498
   70,1120.977,15.049,4498
   71,1136.606,15.629,4498
   72,1151.890,15.284,4498
   73,1168.845,16.955,4498
   74,1183.289,14.444,4498
   75,1197.811,14.522,4498
   76,1213.494,15.683,4498
   77,1229.100,15.606,4498
   78,1245.533,16.433,4498
   79,1262.367,16.834,4498
   80,1279.064,16.697,4498
   81,1294.485,15.421,4498
   82,1309.442,14.957,4498
   83,1324.671,15.229,4498
   84,1340.224,15.553,4498
   85,1356.097,15.873,4498
   86,1371.983,15.886,4498
   87,1386.447,14.464,4498
   88,1403.295,16.848,4498
   89,1418.315,15.020,4498
   90,1433.544,15.229,4498
   91,1447.758,14.214,4498
   92,1462.327,14.569,4498
   93,1476.092,13.765,4498
   94,1490.594,14.502,4498
   95,1504.005,13.411,4498
   96,1519.937,15.932,4498
   97,1535.584,15.647,4498
   98,1550.198,14.614,4498
   99,1566.598,16.400,4498
  100,1580.967,14.369,4498
  101,1596.131,15.164,4498
  102,1611.606,15.475,4498
  103,1626.806,15.200,4498
  104,1642.622,15.816,4498
  105,1656.725,14.103,4498
  106,1672.638,15.913,4498
  107,1687.782,15.144,4498
  108,1702.389,14.607,4498
  109,1717.004,14.615,4498
  110,1733.205,16.201,4498
  111,1747.766,14.561,4498
  112,1762.477,14.711,4498
  113,1778.403,15.926,4498
  114,1792.843,14.440,4498
  115,1808.371,15.528,4498
  116,1821.533,13.162,4498
  117,1838.454,16.921,4498
  118,1858.276,19.822,4498
  119,1875.162,16.886,4498
  120,1891.075,15.913,4498
  121,1907.147,16.072,4498
  122,1923.516,16.369,4498
  123,1944.373,20.857,4498
  124,1961.990,17.617,4497
  125,1979.530,17.540,4497
  126,1997.697,18.167,4497
  127,2013.848,16.151,4497
  128,2029.013,15.165,4497
